periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.06,PAJAK HOTEL,27742401328.00 ,5858029666.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.07,PAJAK RESTORAN,65559352364.00 ,14179364179.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.08,PAJAK HIBURAN,4664469061.00 ,783907724.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.10,PAJAK PENERANGAN JALAN,112671840076.00 ,24118863964.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.11,PAJAK PARKIR,6542283136.00 ,1338554721.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.12,PAJAK AIR TANAH,4393291212.00 ,1020196240.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.15,PAJAK BUMI DAN BANGUNAN,53212581870.00 ,20882656725.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.16,BEA PEROLEHAN HAK ATAS TANAH DAN BANGUNAN (BPHTB),96227304275.00 ,17234322430.00 
5,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.09,PAJAK REKLAME,10017874738.00 ,2744290136.00 
5, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.01,          A. RETRIBUSI IZIN MENDIRIKAN BANGUNAN ,20803244064.00 ,870328951.00 
5, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.06,          B. RET. PEMB. PERPANJANGAN IMTA KEPADA TENAGA KERJA ASING        ,600948000.00 ,275562000.00 
5,DINAS PERHUBUNGAN,4.1.02.01.04.0001,               1. PARKIR HARIAN TEPI JALAN UMUM,5193734352.00 ,897113001.00 
5,DINAS PERHUBUNGAN,4.1.02.01.06.0001,               1. PENGUJIAN KENDERAAN BERMOTOR,2093344050.00 ,388342500.00 
5,DINAS PERHUBUNGAN,4.1.02.02.04.0003,               1.RET. PENYEDIA FASILITAS LAINNYA DI LINGKUNGAN TERMINAL,48163000.00 ,7604000.00 
5,DINAS PERHUBUNGAN,4.1.02.02.05,          E. RETRIBUSI TEMPAT KHUSUS PARKIR (PARKIR KHUSUS PELATARAN),310510000.00 ,62945000.00 
5,DINAS PERHUBUNGAN,4.1.02.03.03,          F. RETRIBUSI IZIN TRAYEK UNTUK PEL. ANGKUTAN UMUM,63855300.00 ,58570300.00 
5,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.02,          A. RETRIBUSI  PELAYANAN KEBERSIHAN DAN PENGANGKUTAN SAMPAH,6464725450.00 ,1344820950.00 
5,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.03,          B. RETRIBUSI  PELAYANAN PEMAKAMAN DAN PENGABUAN MAYAT,162615000.00 ,33449000.00 
5, Dinas Pencegah dan Pemadam Kebakaran ,4.1.02.01.07.0001,              1. PEMERIKSAAN/PENG.ALAT PEMADAM KEBAKARAN,464030000.00 ,49180000.00 
5,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.01.0001,                 1.  SEWA TANAH DAN BANGUNAN ,1018742528.00 ,160376336.00 
5,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.08,           B. RET. PENGGANTIAN BIAYA CETAK PETA ,936540.00 ,141900.00 
5,DINAS KESEHATAN,4.1.02.01.01,            A. RETRIBUSI PELAYANAN KESEHATAN DI PUSKESMAS,7335000.00 ,1240000.00 
5,DINAS PERDAGANGAN ,4.1.02.01.11,            A. RETRIBUSI PELAYANAN TERA / TERA ULANG ,209669400.00 ,42992000.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.05,  a. Penerimaan Jasa Giro,10495713325.00 ,2663705751.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.12,  b. Pendapatan Denda Pajak ,4178519027.00 ,676080546.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.15,  c. Pendapatan dan Pengembalian ,30044966563.90 ,22235890621.87 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0005,Bagi Hasil dari Penerimaan dari Sektor Minyak Bumi dan Gas Bumi (Migas),10954850.00 ,5342250.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.02.0001 ,        1. Dana Alokasi Umum,771452115000.00 ,251540350000.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0001 ,           -  Pajak Kendaraan Bermotor (PKB),195689585235.00 ,195689585235.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0002 ,           - Bea Balik Nama Kendaraan Bermotor,129012854402.00 ,129012854402.00 
5,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0005 ,           - Pajak Rokok,45484791566.00 ,34678744406.00 
